rule,seed,note,raw_full,abs_full,raw_settled,abs_settled,density_settled
no_birth,0,I — everything dies from soup,0.011824074074074074,0.017027777777777777,0.007577777777777778,0.010133333333333333,0.022222222222222223
no_birth,1,I — everything dies from soup,0.011351851851851853,0.01615740740740741,0.007311111111111111,0.00968888888888889,0.023055555555555555
no_birth,2,I — everything dies from soup,0.01112037037037037,0.015796296296296298,0.007266666666666667,0.009533333333333333,0.020555555555555556
no_birth,3,I — everything dies from soup,0.012064814814814815,0.017361111111111112,0.007577777777777778,0.010355555555555555,0.024444444444444446
no_birth,4,I — everything dies from soup,0.011194444444444444,0.01601851851851852,0.007355555555555555,0.0096,0.020555555555555556
no_birth,5,I — everything dies from soup,0.012611111111111111,0.018157407407407407,0.00788888888888889,0.010644444444444444,0.028333333333333332
no_birth,6,I — everything dies from soup,0.010972222222222222,0.01587962962962963,0.0070888888888888885,0.00908888888888889,0.018055555555555554
no_birth,7,I — everything dies from soup,0.010796296296296297,0.015055555555555556,0.007355555555555555,0.009733333333333333,0.02
maze,0,II — freezes into a static maze,0.051611111111111115,0.059222222222222225,0.0164,0.0164,0.5488888888888889
maze,1,II — freezes into a static maze,0.04947222222222222,0.05564814814814815,0.016511111111111112,0.016511111111111112,0.5502777777777778
maze,2,II — freezes into a static maze,0.051675925925925924,0.05984259259259259,0.0164,0.0164,0.5472222222222223
maze,3,II — freezes into a static maze,0.0485,0.05376851851851852,0.016555555555555556,0.016555555555555556,0.5516666666666666
maze,4,II — freezes into a static maze,0.050555555555555555,0.05688888888888889,0.01697777777777778,0.016955555555555557,0.5441666666666667
maze,5,II — freezes into a static maze,0.04889814814814815,0.05525,0.016466666666666668,0.016466666666666668,0.5516666666666666
maze,6,II — freezes into a static maze,0.052675925925925925,0.06049074074074074,0.016444444444444446,0.016444444444444446,0.5519444444444445
maze,7,II — freezes into a static maze,0.051416666666666666,0.0589537037037037,0.016577777777777778,0.016577777777777778,0.5502777777777778
life,0,"IV — still lifes, oscillators, gliders",0.3036111111111111,0.4565740740740741,0.24497777777777777,0.3700222222222222,0.06435555555555555
life,1,"IV — still lifes, oscillators, gliders",0.4113703703703704,0.6034166666666667,0.32224444444444444,0.48431111111111114,0.06889444444444444
life,2,"IV — still lifes, oscillators, gliders",0.47299074074074077,0.6866203703703704,0.43908888888888886,0.6273333333333333,0.10172777777777778
life,3,"IV — still lifes, oscillators, gliders",0.34978703703703706,0.5186296296296297,0.25144444444444447,0.37977777777777777,0.05699166666666667
life,4,"IV — still lifes, oscillators, gliders",0.4283148148148148,0.6293055555555556,0.3978,0.5842888888888889,0.09416944444444444
life,5,"IV — still lifes, oscillators, gliders",0.42983333333333335,0.6324444444444445,0.34913333333333335,0.5246444444444445,0.07945555555555556
life,6,"IV — still lifes, oscillators, gliders",0.4326111111111111,0.6332129629629629,0.4142,0.6078222222222223,0.09588333333333333
life,7,"IV — still lifes, oscillators, gliders",0.2844259259259259,0.4312314814814815,0.16693333333333332,0.25355555555555553,0.044475
highlife,0,IV — Life plus a replicator,0.26439814814814816,0.39266666666666666,0.1439111111111111,0.21817777777777778,0.04103888888888889
highlife,1,IV — Life plus a replicator,0.3688148148148148,0.5342962962962963,0.3292,0.4851111111111111,0.07506944444444444
highlife,2,IV — Life plus a replicator,0.3986851851851852,0.5792037037037037,0.31908888888888887,0.47784444444444446,0.06937777777777777
highlife,3,IV — Life plus a replicator,0.34217592592592594,0.49837037037037035,0.26064444444444446,0.37655555555555553,0.06450833333333333
highlife,4,IV — Life plus a replicator,0.3731111111111111,0.533712962962963,0.2541555555555556,0.3691111111111111,0.06149166666666667
highlife,5,IV — Life plus a replicator,0.4389166666666667,0.6292685185185185,0.3784222222222222,0.5420888888888888,0.08278333333333333
highlife,6,IV — Life plus a replicator,0.4343425925925926,0.6285277777777778,0.3887333333333333,0.5755777777777777,0.08270555555555556
highlife,7,IV — Life plus a replicator,0.39616666666666667,0.5783703703703704,0.3712888888888889,0.5455111111111111,0.07859444444444444
daynight,0,III/IV — large-scale churn,0.5883518518518519,0.6630833333333334,0.38495555555555555,0.4694,0.3072416666666667
daynight,1,III/IV — large-scale churn,0.5989907407407408,0.6799351851851851,0.3908888888888889,0.4845333333333333,0.29005555555555557
daynight,2,III/IV — large-scale churn,0.5928981481481481,0.6660185185185186,0.3618222222222222,0.4454,0.40251944444444443
daynight,3,III/IV — large-scale churn,0.5936296296296296,0.67875,0.41604444444444444,0.5302444444444444,0.29714444444444443
daynight,4,III/IV — large-scale churn,0.5934722222222222,0.6414537037037037,0.3521111111111111,0.41186666666666666,0.63255
daynight,5,III/IV — large-scale churn,0.5737962962962962,0.6420185185185185,0.3073777777777778,0.38764444444444446,0.25813888888888886
daynight,6,III/IV — large-scale churn,0.5879444444444445,0.6525092592592593,0.35015555555555555,0.42646666666666666,0.4818861111111111
daynight,7,III/IV — large-scale churn,0.6059074074074075,0.6743981481481481,0.33997777777777777,0.43324444444444443,0.3884916666666667
seeds,0,III — explosive chaos,0.7936851851851852,0.9565370370370371,0.7941111111111111,0.9574,0.21168333333333333
seeds,1,III — explosive chaos,0.7912314814814815,0.9577129629629629,0.7930222222222222,0.9574222222222222,0.21080277777777778
seeds,2,III — explosive chaos,0.7937685185185185,0.9567407407407408,0.7945333333333333,0.9571555555555555,0.21185
seeds,3,III — explosive chaos,0.7931481481481482,0.9572037037037037,0.7929777777777778,0.9571555555555555,0.211425
seeds,4,III — explosive chaos,0.7926388888888889,0.9577962962962963,0.7926666666666666,0.9584,0.21104444444444445
seeds,5,III — explosive chaos,0.7926944444444445,0.9578055555555556,0.7932444444444444,0.9582,0.21061944444444444
seeds,6,III — explosive chaos,0.7944722222222222,0.9567037037037037,0.7960666666666667,0.9569333333333333,0.21340555555555554
seeds,7,III — explosive chaos,0.7925555555555556,0.9578518518518518,0.7928888888888889,0.9577333333333333,0.2106361111111111
replicator,0,additive — 2D rule 90,0.2746851851851852,0.2746851851851852,0.6056666666666667,0.6056444444444444,0.4992333333333333
replicator,1,additive — 2D rule 90,0.2746574074074074,0.2746574074074074,0.6057555555555556,0.6057333333333333,0.4994277777777778
replicator,2,additive — 2D rule 90,0.27467592592592593,0.27466666666666667,0.6056222222222222,0.6056444444444444,0.4996888888888889
replicator,3,additive — 2D rule 90,0.2746574074074074,0.2746388888888889,0.6056,0.6056222222222222,0.49994444444444447
replicator,4,additive — 2D rule 90,0.2746851851851852,0.27467592592592593,0.6057333333333333,0.6057333333333333,0.49675555555555556
replicator,5,additive — 2D rule 90,0.27469444444444446,0.27466666666666667,0.6057111111111111,0.6056666666666667,0.5013444444444445
replicator,6,additive — 2D rule 90,0.2746296296296296,0.2746574074074074,0.6057333333333333,0.6057111111111111,0.4974166666666667
replicator,7,additive — 2D rule 90,0.27469444444444446,0.2746851851851852,0.6056444444444444,0.6057555555555556,0.49778333333333336
